THE	Dv
FANTASIA	N
CAMISOLE	N
REFRACTORY	AN
ATOLL	N
COUNSELLOR	N
INEXPERIENCED	A
OUTRAGED	VA
SMOTHER	VtN
FROSTY	A
MARMOT	N
REMAND	tNV
MULES	N
SASH	Nt
SPOOF	NV
MOANING	A
PONIES	p
PENICILLIN	N
BLIGHT	NVt
PHYSIQUE	N
MATURATION	N
REFRACTIVE	A
GRADER	N
CONTENTIOUS	A
CHEERING	NA
INTERCOLLEGIATE	A
EMANCIPATION	N
DUCHESS	N
RAINIER	A
COMMEMORATE	tV
SPOUT	VN
PERISH	iV
SNAPPER	N
HEFTY	A
HOIST	tNV
CAPTIVITY	N
OVERLOADED	A
SHORTHAND	NA
CERES	N
BRAVERY	N
SINCERITY	N
HAIRLESS	A
OAR	NV
LACTATION	N
FLAGGED	Vi
OFFBEAT	NA
RELISH	tNV
IMAGINING	V
MACHINED	V
BELONGINGS	pN
EVICTION	N
LIRE	p
UNCHECKED	A
REGIONALLY	v
CONTRADICT	tiV
SCARCITY	N
FLEEING	VA
FILAMENT	N
LITURGICAL	A
DISGUISED	VA
IMPLANTED	A
EXOGENOUS	A
THRASH	tiNV
ANTIQUARIAN	AN
FLUENCY	N
UNITING	VN
CONCEIVABLE	A
AGATE	N
INCLINE	VN
SCORER	N
SWAMI	N
THOROUGHBRED	AN
ONENESS	N
DIVIDERS	pN
CLIMBER	N
RECOVERABLE	A
COMMONPLACE	AN
INTELLECTUALLY	v
CRUCES	N
LACTOSE	N
COMPETITIVELY	v
DOWNFALL	N
RAJA	N
VANISH	iNV
FERAL	A
UTE	N
NEUROSURGERY	N
RINGGIT	N
IMPATIENT	A
AFORESAID	A
TRUCE	N
PARMESAN	N
STAIRWAY	N
SOU	N
BOAR	N
VERTEBRATE	NA
PHYSIOTHERAPY	N
LAIRD	N
MULTIPLICITY	N
OBJECTIVELY	v
BILLABONG	N
PREPAYMENT	N
ANGUISH	NV
PETAL	N
PERFECTED	A
HANDGUN	N
MITE	N
CLIPPED	AV
INNOVATOR	N
ANNOYANCE	N
GRATING	NA
PROSTITUTE	NtV
MINA	N
ELIXIR	N
SEWERAGE	N
GUARDIANSHIP	N
MANTIS	N
REVERENCE	NtV
REMODEL	tV
CARPAL	NA
OUTWEIGH	tV
EGGPLANT	N
BUNTING	N
AVENGER	N
SPAR	NV
UNDOCUMENTED	A
WAUGH	A
CAPTIVATING	tA
CENTURION	N
PROPAGATE	Vt
NUTRITIOUS	A
MARGUERITE	N
VAPOUR	NVi
PLUCK	tNV
CAUTIOUSLY	v
PRICK	ViN
CONTINGENCIES	p
DRESSAGE	N
PHYLOGENETIC	A
COERCION	N
MORBID	A
REFRESHER	N
RUBBLE	N
SCRAMBLED	VA
CHEEKY	A
ARCO	v
AGITATION	N
PROPONENT	N
TRUTHFUL	A
WOODPECKER	N
REDO	V
PIRANHA	N
PSEUDOMONAS	N
ADDER	N
WEAKENING	NA
AVIONICS	N
MINIMIZATION	N
NOME	N
ASCOT	N
LINEARLY	v
POIGNANT	A
PUNISHABLE	A
FRACTURED	VA
WATERMAN	N
BRAT	N
MULTIPLEX	NA
SALIENT	AN
BABYSITTING	N
BEEHIVE	N
CENSOR	NtV
AEON	N
SHORTY	NA
DISCONTINUITY	N
WITS	p
PERVERTED	A
DOWNTURN	N
BORDERING	A
FISSION	N
MODULATOR	N
WIDOWED	A
TOMBSTONE	N
CHOREOGRAPHY	N
NTH	A
BEGGED	V
FLUSHED	A
LAVISH	AtV
ROSCOE	N
BRIGHTEN	V
VIXEN	NA
MAMMOGRAPHY	N
WHIPS	N
MARCHES	N
COMMUNICABLE	A
ENZYMATIC	A
EXTRAVAGANZA	N
ANEW	v
COMMANDMENT	N
UNDETERMINED	A
YAH	!
CONCEDED	VA
CIRCUMFERENCE	N
POSTPONE	tV
UNDERESTIMATE	VtN
PHEASANT	N
BALLY	Av
MARRYING	V
EXPONENTIALLY	v
BUNNIES	p
CHOPPERS	p
OUTFLOW	N
RESIDED	i
SCARAB	N
WEASEL	N
RAUNCHY	A
BIOLOGICALLY	v
VENERABLE	A
TOASTED	A
ADMIRABLE	A
ILLUMINATE	tiANV
OCTANE	N
BULGE	NV
BRITTLE	AN
POLITELY	v
SOAPBOX	N
WATERMELON	N
INGENIOUS	A
ELONGATION	N
BOARDROOM	N
TAPING	N
SOMATIC	A
ALDERMAN	N
SLUMP	iNV
SIMULATING	V
COUGHING	N
HIATUS	N
ENROL	V
EVANGELIST	N
LOUVRE	N
SPURIOUS	A
GLOOM	Ni
AIKIDO	N
DAP	ViN
ANGELIC	A
ASTROLOGICAL	A
NOBILITY	N
DELIMITED	A
NONCOMPLIANCE	N
AFTERNOONS	v
ASHORE	v
WORKMAN	N
SWIMMER	N
UNLOAD	Vt
LOON	N
LINOTYPE	N
MARGE	N
PES	N
HONE	NtiV
JOCKEYS	p
SEATER	N
DELIVERABLE	A
BADNESS	N
MISCARRIAGE	N
VULGATE	NA
STONED	A
PROVOKED	tA
LAKESHORE	N
FABLES	N
ALAND	N
CRUMBS	!
WORT	N
PALISADES	p
EDEMA	N
CONFIDENTLY	v
DISPENSE	tiV
DANGEROUSLY	v
CAROTID	NA
ACCUSING	VA
STINK	VN
CONVENT	N
CHILDISH	A
SQUISH	tiNV
ADHERED	i
PRIESTHOOD	N
JAGGED	A
NAB	V
DISPERSAL	N
OVERT	A
SNOWFLAKE	N
VERBALLY	v
SQUEAK	NVit
STERILIZATION	N
CHENILLE	N
DEHYDRATION	N
HAIRCUT	N
CONSTITUTING	t
UNDECLARED	A
INCARCERATION	N
PRONOUNCE	Vt
HIERARCHIES	p
LACTATING	iA
INCOMPLETENESS	N
AQUAMARINE	N
DEARLY	v
SUGGESTIVE	A
SEDIMENTATION	N
OPTOMETRY	N
ELECTRIFIED	t
MOBILIZE	Vt
UNBALANCED	A
GYPSUM	N
SLIME	NtV
BARONESS	N
TRAJECTORIES	p
WINNINGS	N
IMAGINABLE	A
BROMIDE	N
LEAPFROG	NVi
THERMOPLASTIC	AN
SUMMING	V
LAMENT	VN
PREDATORY	A
DESCENDANT	NA
DISGUST	tNV
DETERRENT	NA
DUPLICATING	VN
RATIONALITY	N
SCREWING	N
DISMAL	A
COCHIN	N
TUBA	N
PROLOGUE	NV
WHALING	NV
CIRRUS	N
KILOMETER	N
STUMBLING	VA
SWUNG	V
WAVED	AV
HIJACK	tNV
LIBEL	NVt
ELLIPSE	N
ALARMED	A
FRYER	N
JEST	NV
GARDA	N
DAMMIT	!
LUCE	N
GREATS	p
BORON	N
STRAPPED	A
RELUCTANTLY	v
PHOBIA	N
WOODWORK	N
CENTRIFUGAL	AN
AUTHORSHIP	N
CAVITIES	p
DECIDEDLY	v
APATHY	N
MERCANTILE	A
INFUSED	V
PEAKED	A
STRONGHOLD	N
TETRA	N
ALB	N
RETROFIT	V
BEARDED	A
GREASY	A
TACTILE	A
CINEMATOGRAPHY	N
WANNABE	N
CARNAGE	N
SKIER	N
STORYTELLER	NA
INGENUITY	N
ISCHEMIA	N
MORT	N
INFESTED	A
HIBISCUS	N
RHEUMATOLOGY	N
RATTAN	N
CORONER	N
IRREGULARITIES	p
TILED	AV
SELECTIVITY	N
ELABORATION	N
HECTIC	AN
RAISER	N
SANGER	N
MULLEN	N
PERIPHERY	N
SNUFF	tNiVA
CONVENE	Vt
WOODWIND	AN
CALMLY	v
HORRIBLY	v
DILUTE	VA
CONTEMPLATION	N
GASEOUS	A
AFFLICTED	A
GLOOMY	A
NATURIST	N
PLETHORA	N
CABRIOLET	N
RETIREE	N
ANTHROPOLOGICAL	A
PROPHECIES	p
BUCKEYE	N
DOLLHOUSE	N
STEREOTYPE	NtV
ESCALADE	NV
BREAKAWAY	NViA
DINGHY	N
CLOTHED	tA
HOYA	N
FLIED	V
TALON	N
REPELLENT	AN
PED	N
SORCERY	N
ABSTAIN	iV
REMODELED	tA
BARRING	PN
UNDERMINED	t
SITUATIONAL	A
BESTOWED	A
CHAKRA	N
INACTIVITY	N
GRASSY	A
CLUMSY	A
EMULSION	N
FIELDER	N
BIOSPHERE	N
STINT	VN
FEDERALISM	NA
ROUSSEAU	N
SARCASM	N
LAMINATING	V
COLITIS	N
UNINCORPORATED	A
LIANG	N
CRYOGENIC	A
HOMOLOGOUS	vA
OVERTURNED	A
UPHILL	AvN
SYMPTOMATIC	A
WARMED	A
PARABLE	N
JOLT	tNV
BIPARTISAN	A
RHODIUM	N
EXCHANGER	N
PRESEASON	N
BUMBLE	ViN
INTIMIDATING	tA
DEADLOCK	NV
PLACENTA	N
BRAINSTORMING	N
DERIVING	VN
SARCOMA	N
SNIFFER	N
QUADRANGLE	N
ERADICATE	tV
LIKENESS	N
ALPACA	N
DEGRADE	tV
FLEMISH	NA
SHRED	NV
TENTED	A
STEAMED	A
SKEW	ANVit
AROUSED	VA
HOLLANDS	N
MUNI	N
MODERNISM	NA
REMITTANCE	N
SIEVE	NVt
ALIENATION	N
REDDISH	A
WYE	N
BINGE	NV
CYST	N
HEXADECIMAL	A
SCISSOR	V
GOLIATH	N
CAPRICE	N
MOTT	N
HORNED	A
JAZZY	A
HEADBOARD	N
FOWL	NiV
BENEVOLENT	A
SUPERSTITION	N
CENTOS	p
HYSTERECTOMY	N
HOUSINGS	N
TORSION	N
ULTRASTRUCTURE	N
RARITY	N
LIMBO	N
SHOVE	VtN
LEFTOVER	NA
SYKES	N
ANECDOTAL	A
ACCUSATION	N
ARBORETUM	N
FLAKE	NVt
ISCHEMIC	A
HATING	V
PATE	N
PLUGGING	V
VIGNETTE	Nt
SHEARS	pN
PHEROMONE	N
FIREBALL	N
TABERNACLE	N
DECORATOR	N
HARMONIOUS	A
WESTERLY	AvN
MODERNISATION	N
MUNITIONS	pN
SYMMETRICAL	A
MODALITY	N
ORNATE	A
UTILISE	V
MIDWIFE	N
APPELLEE	N
UNIFORMED	A
SNUG	ANV
HOMEGROWN	A
COVETED	A
DIRHAM	N
ESOPHAGEAL	A
DECEIVED	V
CONVICT	VtNA
ALBUMIN	N
TOSSING	A
REGULARITY	N
CRITICISED	it
LAWFULLY	v
PARAMEDIC	NA
TRADEMARKED	A
POTABLE	AN
INTENSITIES	p
ONCOGENE	N
DUMAS	N
ANTIDEPRESSANT	NA
JESTER	N
RECOUNT	tNV
BALLPARK	N
ORCA	N
MASCARA	N
PROLINE	N
DEAREST	N
NEMA	N
NOOK	N
SNOOPY	A
COMMENSURATE	A
SCHILLER	N
BOWLER	N
UNLEASH	tV
KOSS	N
WISER	A
GALLANT	ANVt
SUMMARIZING	t
DISBELIEF	N
BARITONE	NA
UNQUALIFIED	A
RECOLLECTION	N
RELATIVISTIC	A
FASTENING	N
JEWELER	N
SUBLIMINAL	A
INSECTICIDE	N
OSTRICH	N
MAUD	N
SPLINE	Nt
UNDISCLOSED	A
FLIRTING	N
LETTERMAN	N
MISPLACED	tA
DIDO	N
DISCRIMINATING	A
LOO	N
UPLINK	N
EXCLAMATION	N
ASCENDANT	AN
FLUNG	V
PROBATIONARY	A
ABDUCTED	A
WARLOCK	N
BREAKUP	N
FICHE	N
JUROR	N
GOGGLE	iNV
RAILING	N
CREMATION	N
BRAINSTORM	NV
BANTER	VN
BALCONIES	p
AWAKEN	tiV
COFFEEHOUSE	Ni
SINGULARITY	N
SIGNIFY	Vti
GRANDDAUGHTER	N
PROGENY	N
GRATEFULLY	v
DIVERGENT	A
DONUT	N
LIBIDO	N
FUSELAGE	N
TACKLED	V
BALLERINA	N
PASEO	N
TRIBUTARY	NA
CLIQUE	N
ROSY	A
CURRAN	N
SATANIC	A
SUMMARISED	t
TORMENT	VtN
EMIGRATION	N
CONSCIENTIOUS	A
HOWL	NVi
EFT	Nv
ENDOMETRIOSIS	N
CUSHIONING	N
ECCLESIASTICAL	A
CRIPPLED	A
BELVEDERE	N
HILLTOP	Ni
TABOR	N
TENET	N
ACETYL	N
BOOMER	N
FIFTEENTH	AN
CHUTE	NV
PERINATAL	A
MULTICHANNEL	N
BOHEMIA	N
DAREDEVIL	NA
MOUNTAINOUS	A
FONDS	p
OGRE	N
UNFORESEEN	A
SUBMISSIVE	A
CURSES	!
MULCH	NtV
STAMPEDE	NV
WHINE	NV
STREPTOCOCCUS	N
FATALITY	N
BAUD	N
LOOMING	N
UNDIES	pN
PREPAY	V
SPED	V
PRINTOUT	N
NONRESIDENT	NA
SOULFUL	A
FOULS	N
GUERILLA	NA
SERENDIPITY	N
FOLLOWER	N
SEQUENTIALLY	v
YOGI	N
LANDSLIDE	N
ALUMINA	N
DEGENERATE	ViAN
SPIKED	A
CRU	N
DUFFEL	N
STRUNG	VA
SUBFAMILY	N
CHANTING	N
WRESTLER	N
OFFICIATING	VN
HERMIT	N
BEHAVING	V
MATCHMAKER	NA
DYSFUNCTIONAL	A
BULLETPROOF	At
DEEPEN	V
STENOSIS	N
ABRASION	N
MORA	N
RECIPROCITY	N
OPPORTUNISTIC	A
CREASE	NVt
CANTOR	N
WIS	V
ECONOMETRIC	A
PERSEVERANCE	N
PHARMACOLOGICAL	A
PAEDIATRIC	A
IMPEDE	tV
ACADEMICALLY	v
TILTED	A
VICAR	N
CONFINES	N
PRANK	NtiV
REPENT	VA
AGREEABLE	A
CENTRUM	N
PULPIT	N
BELLIES	p
DOJO	N
CORROSIVE	AN
AMBUSH	NVt
INTERFACING	N
PALAZZO	N
HEPARIN	N
FIGURATIVE	A
GAIT	Nt
EMPHASISED	t
CONNECTIVE	AN
BONFIRE	N
AVERSION	N
BIOPHYSICS	N
CHROMATIN	N
STILES	N
CHAUFFEUR	NV
WASTELAND	N
ELICIT	tV
PLOTTER	N
SLAPPED	VA
BITTEN	VA
MEEK	A
DOODLE	ViN
ARB	N
DYNAMO	N
CHRONOLOGICALLY	v
STOW	tV
EIDE	p
SUMMON	tV
PARCHMENT	N
LINGUA	N
STACKER	Nit
FORFEIT	NtAV
UNPOPULAR	A
RETAINER	N
HARDENING	N
BARBELL	N
LOOSEN	Vt
SNEAKY	A
UNDISCOVERED	A
IMPUTED	t
RESTROOM	N
SPATIALLY	v
WILLOWS	N
HUMP	NVt
DELFT	N
MARGINALLY	v
COMMUNICATIVE	A
GRIEVING	VA
CHASTITY	N
INVOICING	V
CARNEY	N
FLIPPED	V
FRIGHT	NV
ADORNED	A
OBNOXIOUS	A
DILIGENTLY	v
SURFACED	V
COWGIRL	N
MARVELLOUS	A
EASING	NV
PICKET	NVt
EYRE	N
MATURING	N
MARGARINE	N
ILLOGICAL	A
AWAKENED	A
BEET	N
SUING	VN
BRINE	NtV
SNEAKER	N
WANING	NA
GLYCOPROTEIN	N
ARMOIRE	N
QUEUED	V
SAB	N
HYDROXIDE	N
PILED	AV
CELLULITE	N
TWINKLE	VN
LODGINGS	pN
FLUFF	NV
CARTOGRAPHY	N
SUPPLE	AV
GELD	VN
UNFIT	AtV
UTTERED	A
ZEITGEIST	N
NICKELODEON	N
TENDING	NA
SHAGGY	A
ELONGATED	VA
ORDEAL	N
ASTRONOMER	N
HERNIA	N
INCOMPETENCE	N
STABILIZING	VA
ANIL	N
FLICKER	itNV
RELIEVING	V
PULLOVER	N
TOWERING	A
ASSAULTED	A
BEASTIE	N
ROUSE	VtiN
APPEL	N
YUCCA	N
HARVESTER	N
SPIEL	NitV
SHAY	N
IMPURITIES	p
STEMMING	Vt
OBSTRUCTIVE	A
HOS	N
TENTATIVELY	v
INTERLUDE	NV
RETROACTIVE	A
VAS	N
CARCASS	N
GIZMO	N
ATHEROSCLEROSIS	N
CASUALLY	v
SCAMP	NV
DEMOGRAPHY	N
FREEDMAN	N
REPRISE	NV
MEOW	i!NV
ZIG	AN
POPULATE	tV
LASH	NtV
ARCANE	A
IMPRACTICAL	A
AUTHORITARIAN	AN
CARDHOLDER	N
PEAVEY	N
FLUOXETINE	N
QUICKSILVER	NA
SACKED	A
OMEN	NtV
EFFORTLESSLY	v
FORFEITED	A
STIPEND	N
SNORKEL	NiV
AMIN	N
IRIDIUM	N
CONSERVING	VNA
AMULET	N
INFORMALLY	v
ALTERNATOR	N
UNDERWRITER	N
PANHANDLE	NV
SARCASTIC	A
INDEMNIFICATION	N
COMPLEXION	NV
DAISIES	p
INFORMANT	N
SORROWS	N
GUARANTEEING	V
BOOBIES	p
PACS	N
SLUGGISH	A
HELMS	N
BRIG	N
SHERPA	N
TUFF	N
COY	A
SORGHUM	N
GROUSE	NAiV
PASTED	A
MOTHS	p
COLLABORATED	i
EVOKE	tV
SLOTTED	V
FILA	N
DECKING	N
NIT	N
AMORPHOUS	A
TRIBUTARIES	p
HIDEAWAY	N
CODA	N
CYANIDE	N
INTERLIBRARY	A
MOUSSE	NV
PROVENANCE	N
SHAMEFUL	A
CHIFFON	NA
FANFARE	N
MAPPER	N
DYSTROPHY	N
ARCHAIC	A
ELEVATE	tV
DEAFNESS	N
LAUREATE	AN
CONTEMPORARIES	pN
VIGILANCE	N
APPALLING	AN
PALMYRA	N
AFFIXED	A
TICKING	N
PANTHEON	N
GULLY	NV
EPITHELIUM	N
BITTERNESS	N
BRILL	N
DEFY	V
WEBBING	N
LOVINGLY	v
THRUSH	N
BRIBERY	N
UNTESTED	A
VENTILATED	A
ASCEND	Vi
FLINDERS	pN
NUTMEG	N
CRIT	N
CHAINED	A
CANCELING	V
MAGNIFY	Vt
GAUSS	N
PRECAUTIONARY	A
ARTISTRY	N
TRAVAIL	NiV
LIVRES	p
FIDDLER	N
WHOLESOME	A
SEVERED	A
RUBRIC	NAV
HEADLAMP	N
OPERAND	N
PUDDLE	NtV
VEGETATIVE	A
AGORA	N
MACHO	A
SOB	VtN
ELABORATED	VA
REEVE	NV
WILLFUL	A
GRANDEUR	N
PLOUGH	NVi
STAPHYLOCOCCUS	N
FOSS	N
OVERHEARD	t
WHEREABOUTS	vN
SYMPHONIES	p
RECLINING	VNA
SMELLY	A
BOUNDING	A
HANGAR	N
EPHEMERA	N
UMPIRE	NV
TESTICULAR	A
ORTHODOXY	N
KILT	Nt
DOUBTLESS	vA
WEARABLE	AN
CARLING	N
BUILDUP	N
WEAPONRY	N
KEYED	A
ESQUIRE	NtV
CRYPTIC	A
PRIMUS	N
WHEREFORE	Nv
CORPORA	N
CHOLERA	N
ANTIVIRAL	AN
MIDSUMMER	N
COLOURING	N
PROFILER	N
INTOXICATED	A
MINIMALIST	N
PROTAGONIST	N
MISE	N
BULLION	N
DEFLECTION	N
HATEFUL	A
PROPENSITY	N
JOURNALISTIC	A
KINGFISHER	N
MOLINE	A
DISPENSED	VA
WALLEYE	N
BAGEL	N
STRATUM	N
VENDETTA	N
RESTRAIN	tV
CLUTCHES	N
WALKWAY	N
WHIT	N
COOS	N
AMAZE	tNV
PETROCHEMICAL	NA
EASEL	N
CARER	N
HUMANKIND	N
POTION	N
OVATION	N
PADDOCK	Nt
VINO	N
GABLE	N
JOHNNIE	N
THIRTEENTH	AN
LACED	VA
QUILL	Nt
ZUCCHINI	N
FETCHING	A
CHAPS	p
LANAI	N
TENDON	N
FERMI	N
NEWSREADER	N
BELLOWS	N
CUDDLY	A
DECEIT	N
UNMARKED	A
JOYOUS	A
VENTING	N
PRICEY	A
SHEKEL	N
INFRINGING	V
DIOCESAN	AN
GUNNER	N
VERSO	N
ABSORBENT	AN
GROSSLY	v
CRANKY	A
CLEFT	VNA
INTERCEPTOR	N
CLOG	VtiN
IMPOVERISHED	A
STABBED	A
BANDING	N
NONSTICK	A
ORIGAMI	N
YETI	N
UMBILICAL	AN
SILL	N
FOURSOME	N
STARTLED	VA
MATHEMATICIAN	N
UNTRUE	A
HURRIED	A
ANGIOTENSIN	N
SPITFIRE	N
SUMMATION	N
AUTONOMIC	A
DURA	N
FINGERED	A
MANATEE	N
RESTRUCTURE	V
LARVAL	A
RESETTLEMENT	N
MISTAKENLY	v
RADIATIVE	A
DRAPES	p
INTIMATELY	v
GROIN	NtV
GREENWAY	N
BOOTED	A
FRAT	N
BOWER	NV
EXTREMITY	N
ORPHANED	A
PRUDENCE	N
SHOPPED	NV
HYPNOTHERAPY	N
GINGERBREAD	N
TASTEFUL	A
PURITAN	NA
FOREARM	NtV
DISTRACT	tV
SEAPORT	N
LONGS	p
SIDESHOW	N
CLASSIFIER	N
REPRO	N
BUNS	N
DECEIVE	tV
COLONIALISM	NA
CIVILISATION	N
STARVED	VA
SITCOM	N
PASTRIES	p
COLOSSEUM	N
STIPULATION	N
EMPTINESS	N
NEUROPATHY	N
SHOEMAKER	N
CUSHIONED	A
DADA	N
HASTILY	v
INVADER	N
PATRIARCH	N
CONJUGATED	A
UNETHICAL	A
NILS	N
SWAIN	N
ALPHANUMERIC	A
GRUMPY	A
LAIN	V
HOLM	N
MOURN	Vit
SOFTEN	V
TROUPE	Ni
BLACKSMITH	N
COAGULATION	N
GIRLY	A
POWERFULLY	v
ARCHDIOCESE	N
COMPROMISES	p
THIRDLY	v
CLASSIFYING	t
DEEPENING	NA
KEYLESS	A
REPATRIATION	N
TORTILLA	N
DISSOCIATION	N
UNFAIRLY	v
CALICO	NA
BOTTLENECK	NtV
UNDERMINING	t
COLOSSUS	N
BUCKEYES	p
BODYWORK	N
APPLIQUE	NV
FRIVOLOUS	A
INDECENT	A
DISHONESTY	N
REDEFINED	t
OILED	A
SHARPEN	V
GOALKEEPER	N
PHONETIC	A
BLURB	N
OPPRESSIVE	A
BOOMERANG	NiV
STRUCTURALLY	v
MORAY	N
ONSLAUGHT	N
BIRDIE	NV
DISSEMINATING	tA
LANYARD	N
HORST	N
INTERLOCK	VN
TREASURED	VA
SHARPNESS	N
ESOPHAGUS	N
CORRAL	NVt
FORTNIGHT	N
HICKEY	N
ERODE	Vt
UNLICENSED	A
PLUNGED	V
REALS	p
MODULATED	VA
DEFIANT	A
TERMITE	N
IBUPROFEN	N
DRUGSTORE	N
BRISK	AV
AUDIOLOGY	N
LYSINE	N
SIZZLING	VA
MACROECONOMICS	N
PONCE	Ni
PERJURY	N
KALEIDOSCOPE	N
GENERALITY	N
ABSORBER	N
VIGILANT	A
PRONTO	v
IMAGER	N
EERIE	A
SAILBOAT	N
HECTARE	N
FURL	VtiN
HOLOGRAPHIC	A
STONEWALL	iV
SALAAM	NV
JACKASS	N
RESPIRATOR	N
HOGG	N
PARTYING	p
GEOMETRICAL	A
CRISPY	A
PRIORY	N
SEQUIN	N
BANDWAGON	N
MERCENARIES	p
BRONCHITIS	N
POLYMERIZATION	N
WHIRLWIND	N
HOWLING	AvN
APPREHENSION	N
TURKEYS	p
UNBELIEVABLY	v
HORA	N
BUTYL	N
FORESTED	A
UNRIVALED	A
SHALE	N
DILIGENT	A
VARNA	N
MAIDENHEAD	N
ADVERSITY	N
RANDOMNESS	N
MUON	N
CALIPER	NV
ANODE	N
SITING	V
MISINFORMATION	N
ANEURYSM	N
EGRESS	NVi
ERODED	VA
CREPE	NtV
SHEEPSKIN	N
CONCAVE	At
HERESY	N
ARMORY	N
CONTESTANT	N
SNELL	N
BELIEVABLE	A
ANESTHESIOLOGY	N
FORTHWITH	v
AVERT	tV
OAT	N
GUISE	NVt
CURIOUSLY	v
FULLNESS	N
CULMINATING	V
MELATONIN	N
VOMIT	VN
BONGO	N
COMPOUNDING	N
AFAR	vN
EBB	iNVA
SHAKY	A
BLOKE	N
BRUTALLY	v
CESS	Nt
PENNANT	N
ELECTROCHEMICAL	A
NICEST	A
SLALOM	NiV
CALIF	N
AQUATICS	pN
LEVEE	N
LURKER	N
PHONY	AN
POWERLESS	A
POPULACE	N
DELIBERATION	N
MONOLITHIC	A
JETTY	NA
LUSTER	Nti
SUBCONTRACT	NVit
OVERRUN	tiNVA
UNDONE	A
PROPHYLAXIS	N
UNSTRUCTURED	A
HABITUAL	A
UPLIFT	VtN
CAUSEWAY	NV
RESTATED	t
DUPLICATOR	N
FUNDAMENTALISM	NA
INHABIT	tiV
CONGLOMERATE	NVA
RERUN	VtN
SEGMENTED	A
CRANBERRIES	p
FASTENED	A
PLEATED	A
HANDSHAKE	N
EXTRADITION	N
INNOVATE	V
JERKY	AN
DISMANTLING	tN
PROPORTIONATE	AVt
DELIVERANCE	N
SUBDUED	A
ADHERING	i
CODON	N
ACIDITY	N
FORMALDEHYDE	N
DETRIMENT	N
WELDER	N
SWITCHER	N
PURPORTED	A
MOCKINGBIRD	N
MANGROVE	N
GAB	VN
FAWN	NtiV
JUICER	N
ECHELON	NV
ARRANGER	N
SCAFFOLDING	N
NARROWS	p
METALLURGY	N
SENSED	VA
BAA	VN
QUEUING	V
INSURING	V
BOASTING	N
ARGON	N
HOORAY	!NV
CAREFREE	A
BIOTIN	N
SALTER	N
ASCERTAINED	A
MORPH	NV
ECONOMETRICS	N
FLUCTUATION	N
EXPATRIATE	ANVt
TWENTIES	N
TANTRA	N
CODIFIED	tA
MONSTROUS	A
CONSERVATORIES	p
STETSON	N
CALIBRE	N
GERMINATION	N
LIPOPROTEIN	N
AYURVEDIC	A
PLANETARIUM	N
FUMBLE	iNV
ATTRITION	N
PROVERB	Nt
MERCENARY	AN
REIS	N
TIGHTENED	A
SPECK	NtV
SEARCHER	N
TOURMALINE	N
MURDEROUS	A
RUDDER	N
UNIFYING	tA
ANAESTHESIA	N
ESCALATING	ti
BLUEBIRD	N
MAHJONG	N
DEFORMED	A
WRETCHED	A
INTERSTELLAR	A
DECADENT	AN
INCARCERATED	V
UNSURPASSED	A
SURPASS	tV
ANNIHILATION	N
TRANSFERASE	N
SNOWSHOEING	V
MEMORANDA	N
STEAMING	Av
MAGNIFYING	V
UPPERCASE	A
CIRRHOSIS	N
METROLOGY	N
HIDEOUS	A
ABREAST	vA
INTUITIVELY	v
CONNEXION	N
STONEWARE	NA
PATHOGENIC	A
HUMANIST	NA
EXTREMITIES	p
POMPANO	N
TYRANT	N
SKEWED	A
DECENCY	N
PAPAL	A
SPRANG	V
PALAIS	N
POSITIONAL	A
GLYCINE	N
VEE	AN
THROWBACK	NA
GESTATION	N
APOLOGISE	iV
PLENUM	N
GEOLOGIST	N
HYDROLYSIS	N
EXISTENTIAL	A
SWEATY	A
MOGUL	N
FIERCELY	v
VARNISH	NtV
HYSTERIA	N
BREACHED	A
ROUNDER	N
PERCHED	A
CYTOPLASM	N
INSISTENCE	N
SEDIMENTARY	A
CLOCKWORK	N
CHLOROPHYLL	N
SCOP	N
SHIPYARD	N
CENTERING	N
SUNROOF	N
ETCH	tV
ANSWERER	N
INTELLIGENTLY	v
BOGART	N
IMPUTATION	N
DENSELY	v
UNTRANSLATED	A
DROIT	N
RAFFLES	N
RECONNECT	t
TEENY	A
DISTRUST	VN
FRATERNAL	A
BENTHIC	A
CARLIN	N
LITHOGRAPH	NtV
STONER	N
RESURFACING	t
ELOQUENT	A
WONDROUS	Av
HYPERBOLIC	A
BISQUE	N
TOUCHSTONE	N
STANDOFF	NV
SOLANO	N
ACOUSTICAL	A
PHOTOVOLTAIC	A
REDLINE	V
GRIEVE	Vt
PLEASURABLE	A
BUSTLING	VA
FLUE	N
LUCERNE	N
FIASCO	N
EMIR	N
ROCKABILLY	N
LOUDSPEAKER	N
HANDICAPPING	V
EXCRETION	N
BREAKAGE	N
APPORTIONMENT	N
REINS	pN
HOMEMAKER	NA
SCRAMBLING	V
MISFORTUNE	N
DRENCHED	A
CATEGORIZE	tV
FORESKIN	N
ASTONISHED	A
SUBCONSCIOUS	AN
INCANDESCENT	A
FOUNDRIES	p
DISAPPOINT	tV
SWEATS	N
CAPSTONE	N
PUBLICIZED	A
MOBS	pv
CRIS	N
FEDERALIST	NA
MASSA	N
HIDALGO	N
FIREWOOD	N
SERENADE	NtiV
MICROFICHE	N
WEATHERED	A
AURAL	A
GATEKEEPER	N
LAWLESS	A
THERMODYNAMIC	A
PROFILED	V
GOUT	N
BITTERSWEET	NA
INHUMAN	A
ISOLATING	A
